insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
WALKER JOHN KENT,"President, Global Affairs, CLO",-200.0,12/30/2024,S,200.0,193.695,43981.0,38739.0,0.880812168891112
WALKER JOHN KENT,"President, Global Affairs, CLO",16820.0,12/31/2024,G,16820.0,0.0,60801.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-16820.0,12/31/2024,G,16820.0,0.0,23500.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",0.0,,,0.0,0.0,56609.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",0.0,,,0.0,0.0,75858.0,0.0,0.0
ARNOLD FRANCES,Director,-111.0,12/31/2024,S,111.0,192.49,0.0,21366.39,0.0
ARNOLD FRANCES,Director,0.0,,,0.0,0.0,361.0,0.0,0.0
ARNOLD FRANCES,Director,0.0,,,0.0,0.0,1184.0,0.0,0.0
ARNOLD FRANCES,Director,0.0,,,0.0,0.0,1782.0,0.0,0.0
ARNOLD FRANCES,Director,0.0,,,0.0,0.0,1713.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",1368.0,12/25/2024,C,1368.0,0.0,22049.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-1368.0,12/25/2024,C,1368.0,0.0,6924.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-1395.0,12/25/2024,F,1395.0,197.57,5529.0,275610.14999999997,49.84810092240911
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,24376.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,8940.0,0.0,0.0
Ashkenazi Anat,"SVP, Chief Financial Officer",17843.0,12/25/2024,C,17843.0,0.0,35668.0,0.0,0.0
Ashkenazi Anat,"SVP, Chief Financial Officer",-18189.0,12/25/2024,F,18189.0,197.57,17843.0,3593600.73,201.40115059126828
Ashkenazi Anat,"SVP, Chief Financial Officer",-17843.0,12/25/2024,C,17843.0,0.0,0.0,0.0,0.0
Ashkenazi Anat,"SVP, Chief Financial Officer",0.0,,,0.0,0.0,93517.0,0.0,0.0
Ashkenazi Anat,"SVP, Chief Financial Officer",0.0,,,0.0,0.0,33006.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",16822.0,12/25/2024,C,16822.0,0.0,1449285.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",-5118.0,12/25/2024,C,5118.0,0.0,5217.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",-5217.0,12/25/2024,F,5217.0,197.57,0.0,1030722.69,0.0
Porat Ruth,"President, Chief Invs. Officer",-7008.0,12/25/2024,C,7008.0,0.0,63753.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",-7144.0,12/25/2024,F,7144.0,197.57,56609.0,1411440.0799999998,24.93313925347559
Porat Ruth,"President, Chief Invs. Officer",-4695.0,12/25/2024,C,4695.0,0.0,80644.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",-4787.0,12/25/2024,F,4787.0,197.57,75858.0,945767.59,12.467605130638825
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,120000.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,200000.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,175000.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",16822.0,12/25/2024,C,16822.0,0.0,40320.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-5118.0,12/25/2024,C,5118.0,0.0,5218.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-5217.0,12/25/2024,F,5217.0,197.57,0.0,1030722.69,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-7008.0,12/25/2024,C,7008.0,0.0,63753.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-7144.0,12/25/2024,F,7144.0,197.57,56609.0,1411440.0799999998,24.93313925347559
WALKER JOHN KENT,"President, Global Affairs, CLO",-4696.0,12/25/2024,C,4696.0,0.0,80644.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-4787.0,12/25/2024,F,4787.0,197.57,75858.0,945767.59,12.467605130638825
WALKER JOHN KENT,"President, Global Affairs, CLO",0.0,,,0.0,0.0,60801.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",21493.0,12/25/2024,C,21493.0,0.0,643156.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",-6539.0,12/25/2024,C,6539.0,0.0,6665.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",-6666.0,12/25/2024,F,6666.0,197.57,0.0,1317001.6199999999,0.0
Schindler Philipp,"SVP, Chief Business Officer",-8955.0,12/25/2024,C,8955.0,0.0,81463.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",-9128.0,12/25/2024,F,9128.0,197.57,72334.0,1803418.96,24.931829568391073
Schindler Philipp,"SVP, Chief Business Officer",-5600.0,12/25/2024,C,5600.0,0.0,103044.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",-6116.0,12/25/2024,F,6116.0,197.57,96928.0,1208338.1199999999,12.466347391878507
Pichai Sundar,"Director, Chief Executive Officer",36958.0,12/25/2024,C,36958.0,0.0,2044364.0,0.0,0.0
Pichai Sundar,"Director, Chief Executive Officer",-36958.0,12/25/2024,C,36958.0,0.0,336208.0,0.0,0.0
Pichai Sundar,"Director, Chief Executive Officer",-37675.0,12/25/2024,F,37675.0,197.57,298533.0,7443449.75,24.933423608110328
Pichai Sundar,"Director, Chief Executive Officer",0.0,,,0.0,0.0,227560.0,0.0,0.0
Shriram Kavitark Ram,Director,32700.0,12/18/2024,G,32700.0,0.0,315532.0,0.0,0.0
Shriram Kavitark Ram,Director,32700.0,12/18/2024,G,32700.0,0.0,300400.0,0.0,0.0
Shriram Kavitark Ram,Director,-32700.0,12/18/2024,G,32700.0,0.0,187710.0,0.0,0.0
Shriram Kavitark Ram,Director,-32700.0,12/18/2024,G,32700.0,0.0,187710.0,0.0,0.0
Shriram Kavitark Ram,Director,-32700.0,12/18/2024,G,32700.0,0.0,187710.0,0.0,0.0
Shriram Kavitark Ram,Director,-32700.0,12/18/2024,G,32700.0,0.0,187710.0,0.0,0.0
Shriram Kavitark Ram,Director,32700.0,12/18/2024,G,32700.0,0.0,757226.0,0.0,0.0
Shriram Kavitark Ram,Director,32700.0,12/18/2024,G,32700.0,0.0,844097.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,337680.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,320864.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,319344.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,319344.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,320864.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,338600.0,0.0,0.0
Washington Robin L,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Washington Robin L,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Washington Robin L,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Washington Robin L,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
Washington Robin L,Director,0.0,,,0.0,0.0,28151.0,0.0,0.0
HENNESSY JOHN L,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
HENNESSY JOHN L,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
HENNESSY JOHN L,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
HENNESSY JOHN L,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
HENNESSY JOHN L,Director,0.0,,,0.0,0.0,23324.0,0.0,0.0
HENNESSY JOHN L,Director,0.0,,,0.0,0.0,1273.0,0.0,0.0
HENNESSY JOHN L,Director,0.0,,,0.0,0.0,6093.0,0.0,0.0
Pichai Sundar,"Director, Chief Executive Officer",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Pichai Sundar,"Director, Chief Executive Officer",0.0,,,0.0,0.0,227560.0,0.0,0.0
Pichai Sundar,"Director, Chief Executive Officer",0.0,,,0.0,0.0,2007374.0,0.0,0.0
Ferguson Roger W. Jr.,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
Ferguson Roger W. Jr.,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Ferguson Roger W. Jr.,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Ferguson Roger W. Jr.,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Ferguson Roger W. Jr.,Director,0.0,,,0.0,0.0,5711.0,0.0,0.0
Ferguson Roger W. Jr.,Director,0.0,,,0.0,0.0,53300.0,0.0,0.0
DOERR L JOHN,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
DOERR L JOHN,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
DOERR L JOHN,Director,0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
DOERR L JOHN,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
DOERR L JOHN,Director,0.0,,,0.0,0.0,69700.0,0.0,0.0
DOERR L JOHN,Director,0.0,,,0.0,0.0,136811.0,0.0,0.0
DOERR L JOHN,Director,0.0,,,0.0,0.0,15823900.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,1432463.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,120000.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,175000.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,200000.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",0.0,,,0.0,0.0,60801.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",0.0,,,0.0,0.0,23498.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",0.0,,,0.0,0.0,621663.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-594.0,12/16/2024,S,594.0,194.4118,22921.0,115480.6092,5.038201177959077
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-600.0,12/16/2024,S,600.0,195.8367,22321.0,117502.02,5.264191568478115
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-541.0,12/16/2024,S,541.0,198.4241,21780.0,107347.4381,4.92871616620753
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-899.0,12/16/2024,S,899.0,199.617,20881.0,179455.683,8.594209233274269
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-200.0,12/16/2024,S,200.0,200.32,20681.0,40064.0,1.9372370775107586
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,12/16/2024,A,0.0,0.0,0.0,0.0,0.0
