filing_date,filing_year,filing_quarter,institution_name,institution_cik,accession_number,ticker,form_type
2011-08-15,2011,Q3,Fidelity Management & Research,0000315066,0000315066-11-003880,NVDA,13F-HR
2011-08-12,2011,Q3,State Street Corp,0001418814,0001418812-11-000066,NVDA,13F-HR
2011-07-27,2011,Q3,Vanguard Group Inc,0001364742,0001086364-11-004982,NVDA,13F-HR
2011-05-16,2011,Q2,Berkshire Hathaway Inc,0001067983,0000950123-11-050728,NVDA,13F-HR
2011-05-16,2011,Q2,Fidelity Management & Research,0000315066,0000315066-11-003487,NVDA,13F-HR
2011-05-13,2011,Q2,State Street Corp,0001418814,0001418812-11-000041,NVDA,13F-HR
2011-04-21,2011,Q2,Vanguard Group Inc,0001364742,0001086364-11-004633,NVDA,13F-HR
2011-02-15,2011,Q1,State Street Corp,0001418814,0001418812-11-000008,NVDA,13F-HR
2011-02-14,2011,Q1,Berkshire Hathaway Inc,0001067983,0000950123-11-013623,NVDA,13F-HR
2011-02-14,2011,Q1,Vanguard Group Inc,0001364742,0001086364-11-004274,NVDA,13F-HR
2011-02-14,2011,Q1,Fidelity Management & Research,0000315066,0000315066-11-002171,NVDA,13F-HR
2010-11-15,2010,Q4,Vanguard Group Inc,0001364742,0001086364-10-009987,NVDA,13F-HR
2010-11-15,2010,Q4,Berkshire Hathaway Inc,0001067983,0000950123-10-105654,NVDA,13F-HR
2010-11-15,2010,Q4,Fidelity Management & Research,0000315066,0000315066-10-003815,NVDA,13F-HR
2010-11-12,2010,Q4,State Street Corp,0001418814,0001418812-10-000080,NVDA,13F-HR
2010-08-16,2010,Q3,Fidelity Management & Research,0000315066,0000315066-10-003174,NVDA,13F-HR
2010-08-16,2010,Q3,Berkshire Hathaway Inc,0001067983,0000950123-10-078001,NVDA,13F-HR
2010-08-13,2010,Q3,State Street Corp,0001418814,0001418812-10-000055,NVDA,13F-HR
2010-08-12,2010,Q3,Vanguard Group Inc,0001364742,0001086364-10-009669,NVDA,13F-HR
2010-05-17,2010,Q2,Fidelity Management & Research,0000315066,0000315066-10-002783,NVDA,13F-HR
2010-05-17,2010,Q2,Berkshire Hathaway Inc,0001067983,0000950123-10-050487,NVDA,13F-HR
2010-05-14,2010,Q2,Vanguard Group Inc,0001364742,0001086364-10-009315,NVDA,13F-HR
2010-05-13,2010,Q2,State Street Corp,0001418814,0001418812-10-000034,NVDA,13F-HR
2010-02-16,2010,Q1,Berkshire Hathaway Inc,0001067983,0000950123-10-013284,NVDA,13F-HR
2010-02-16,2010,Q1,Fidelity Management & Research,0000315066,0000315066-10-002292,NVDA,13F-HR
2010-02-12,2010,Q1,State Street Corp,0001418814,0001418812-10-000007,NVDA,13F-HR
2010-02-12,2010,Q1,Vanguard Group Inc,0001364742,0001086364-10-008916,NVDA,13F-HR
2009-11-16,2009,Q4,Berkshire Hathaway Inc,0001067983,0000950123-09-063028,NVDA,13F-HR
2009-11-16,2009,Q4,Fidelity Management & Research,0000315066,0000315066-09-003879,NVDA,13F-HR
2009-11-13,2009,Q4,State Street Corp,0001418814,0001418812-09-000072,NVDA,13F-HR
2009-10-22,2009,Q4,Vanguard Group Inc,0001364742,0001086364-09-000381,NVDA,13F-HR
2009-08-14,2009,Q3,Fidelity Management & Research,0000315066,0000315066-09-003476,NVDA,13F-HR
2009-08-14,2009,Q3,State Street Corp,0001418814,0001418812-09-000062,NVDA,13F-HR
2009-08-14,2009,Q3,Berkshire Hathaway Inc,0001067983,0000950123-09-035453,NVDA,13F-HR
2009-08-11,2009,Q3,Vanguard Group Inc,0001364742,0001086364-09-000360,NVDA,13F-HR
2009-05-15,2009,Q2,Berkshire Hathaway Inc,0001067983,0000950134-09-010823,NVDA,13F-HR
2009-05-15,2009,Q2,State Street Corp,0001418814,0001418812-09-000028,NVDA,13F-HR
2009-05-15,2009,Q2,Fidelity Management & Research,0000315066,0000315066-09-002777,NVDA,13F-HR
2009-05-01,2009,Q2,Vanguard Group Inc,0001364742,0001086364-09-000254,NVDA,13F-HR
2009-02-17,2009,Q1,Berkshire Hathaway Inc,0001067983,0000950134-09-003064,NVDA,13F-HR
2009-02-17,2009,Q1,Fidelity Management & Research,0000315066,0000315066-09-002301,NVDA,13F-HR
2009-02-13,2009,Q1,State Street Corp,0001418814,0001418812-09-000007,NVDA,13F-HR
2009-02-11,2009,Q1,Vanguard Group Inc,0001364742,0001086364-09-000156,NVDA,13F-HR
2008-11-14,2008,Q4,Berkshire Hathaway Inc,0001067983,0000950134-08-020620,NVDA,13F-HR
2008-11-14,2008,Q4,State Street Corp,0001418814,0001418812-08-000118,NVDA,13F-HR
2008-11-14,2008,Q4,Fidelity Management & Research,0000315066,0000315066-08-004328,NVDA,13F-HR
2008-10-30,2008,Q4,Vanguard Group Inc,0001364742,0001086364-08-000308,NVDA,13F-HR
2008-08-14,2008,Q3,Fidelity Management & Research,0000315066,0000315066-08-003227,NVDA,13F-HR
2008-08-14,2008,Q3,Berkshire Hathaway Inc,0001067983,0000950134-08-015283,NVDA,13F-HR
2008-08-14,2008,Q3,State Street Corp,0001418814,0001418812-08-000084,NVDA,13F-HR
2008-08-06,2008,Q3,Vanguard Group Inc,0001364742,0001086364-08-000245,NVDA,13F-HR
2008-05-15,2008,Q2,Berkshire Hathaway Inc,0001067983,0000950148-08-000200,NVDA,13F-HR
